,titles,descriptions,links,yogunlasma,harf_uzunlugu,kelime_sayisi
1,D66 betekent in tijden van corona bijster weinig voor haar kiezers,Özcan Akyol schrijft drie keer per week over wat hem bezighoudt.,https://www.ad.nl/binnenland/d66-betekent-in-tijden-van-corona-bijster-weinig-voor-haar-kiezers~a82e6e00/,0.0,64,11
2,650 miljoen euro coronasteun voor bloementelers en aardappelboeren,"Het kabinet trekt 650 miljoen euro uit voor de sierteeltsector, de voedingstuinbouw en de fritesaardappelsector. Dat maakt minister Schouten van Landbouw vanavond bekend. Deze sectoren zijn zwaar getroffen door de coronacrisis, vanwege het wegvallen van de export én de binnenlandse afzetmarkt.",https://www.ad.nl/politiek/650-miljoen-euro-coronasteun-voor-bloementelers-en-aardappelboeren~af359b45/,0.0,294,41
3,"Brabants dorp neemt afscheid van Guus (29): ‘Dag, tot ooit’","Een lang lint mensen stond woensdagmiddag langs de kant van de weg om Guus Konings (29) uit het Brabantse Beek en Donk, die vorige week overleed aan het coronavirus, een laatste eer te bewijzen.",https://www.ad.nl/binnenland/brabants-dorp-neemt-afscheid-van-guus-29-dag-tot-ooit~ad3d782b/,0.0,194,34
4,Kabinet volgt België en Duitsland niet met breed gebruik mondkapjes,"In tegenstelling tot België en Duitsland noemt Nederland het breed inzetten van mondkapjes ‘niet wenselijk en onnodig’. Minister Hugo de Jonge (Volksgezondheid) herhaalde vanavond op de persconferentie het Nederlandse standpunt. Vanmiddag lieten beide buurlanden weten het gebruik van mondkapjes ‘dringend’ aan te bevelen, maar dat vindt De Jonge niet nodig.",https://www.ad.nl/binnenland/kabinet-volgt-belgie-en-duitsland-niet-met-breed-gebruik-mondkapjes~a7942db6/,0.0,358,50
5,‘Geen roze glitterfoto’s op Instagram als er zoiets heftigs gebeurt’,Dankzij het initiatief van modeontwerpster Janne Mooij – bekend van Gloed Amsterdam en House of Cherries – slaan vrijwilligers door heel het land de handen ineen om mondkapjes te maken.,https://www.ad.nl/nlblijftthuis/geen-roze-glitterfoto-s-op-instagram-als-er-zoiets-heftigs-gebeurt~a5208ef8/,0.0,185,30
6,Kabinet trekt 300 miljoen euro extra uit voor cultuur,Het kabinet schiet bepaalde culturele instellingen financieel te hulp om hen door de eerste maanden van de coronacrisis te helpen. Ook moeten ze met het geld weer kunnen investeren in het komende culturele seizoen. In totaal wordt daarvoor 300 miljoen euro uitgetrokken.,https://www.ad.nl/politiek/kabinet-trekt-300-miljoen-euro-extra-uit-voor-cultuur~a6d695bc/,0.0,270,42
7,Rutte: ‘Het loket gaat zeker niet in één keer open’,"Het kabinet wil niet in één keer, maar ‘stap voor stap’ naar versoepeling van de getroffen coronamaatregelen. ,,Het loket gaat zeker niet in één keer open. Er zal maatwerk nodig zijn om aan de 1,5 metersamenleving te voldoen.”",https://www.ad.nl/politiek/rutte-het-loket-gaat-zeker-niet-in-een-keer-open~ada8a36a/,0.0,226,38
8,Wildwest in mondkapjes-handel: ‘Die hele fabriek bestond niet’,"Heel de wereld wil mondkapjes. De handel daarin is wildwest geworden met niet-bestaande fabrieken, vervalste certificaten, aanbetalingen die verdwijnen en onbegrip tussen ondernemers en ambtenaren.",https://www.ad.nl/binnenland/wildwest-in-mondkapjes-handel-die-hele-fabriek-bestond-niet~a51e16c8/,0.0,197,25
9,Fiks minder woninginbraken sinds coronamaatregelen,"Inbrekers lijken tijdens de coronacrisis een stuk minder vaak toe te slaan. In de maand maart van dit jaar daalde het aantal woninginbraken het hardst in ruim vijf jaar tijd, blijkt uit cijfers die de politie vandaag heeft gepubliceerd.",https://www.ad.nl/wonen/fiks-minder-woninginbraken-sinds-coronamaatregelen~a2d1559a/,0.0,236,39
10,"Arts op de ic doet verslag: ‘Ik zie het vaker, patiënten die accepteren dat ze ziek zijn’",Zorgverleners op de intensive care staan in de frontlinie om het coronavirus te bestrijden. Michael Frank (53) is intensivist op de ic van het Albert Schweitzer ziekenhuis in Dordrecht en geeft dagelijks een inkijkje in zijn werk. Deel 22: ‘Wanneer kunnen we afschalen?’   Lees alle voorgaande afleveringen hier terug.,https://www.ad.nl/binnenland/arts-op-de-ic-doet-verslag-ik-zie-het-vaker-patienten-die-accepteren-dat-ze-ziek-zijn~abb6e1fb/,0.0,318,49
